Data Table for Daily Case Trends - The United States
Date generated: Mon Sep 20 2021 17:29:18 GMT-0400 (EDT)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Aug  2 2020,47296,58719,0
United States,Aug  1 2020,56098,59767,0
United States,Jul 31 2020,66218,60080,0
United States,Jul 30 2020,65707,60983,0
United States,Jul 29 2020,66044,61893,0
United States,Jul 28 2020,58800,62562,0
United States,Jul 27 2020,50870,63152,0
United States,Jul 26 2020,54632,64394,0
United States,Jul 25 2020,58289,64882,0
United States,Jul 24 2020,72544,66385,0
United States,Jul 23 2020,72077,67203,0
United States,Jul 22 2020,70726,67538,0
United States,Jul 21 2020,62932,68105,0
United States,Jul 20 2020,59563,68520,0
United States,Jul 19 2020,58049,67835,0
United States,Jul 18 2020,68807,68145,0
United States,Jul 17 2020,78273,68460,0
United States,Jul 16 2020,74419,67950,0
United States,Jul 15 2020,74693,67413,0
United States,Jul 14 2020,65842,66503,0
United States,Jul 13 2020,54762,65822,0
United States,Jul 12 2020,60225,64561,0
United States,Jul 11 2020,71006,61873,0
United States,Jul 10 2020,74709,59318,0
United States,Jul  9 2020,70658,57743,0
United States,Jul  8 2020,68324,56174,0
United States,Jul  7 2020,61076,55274,0
United States,Jul  6 2020,45929,53386,0
United States,Jul  5 2020,41414,52426,0
United States,Jul  4 2020,53116,52558,0
United States,Jul  3 2020,63688,51848,0
United States,Jul  2 2020,59673,50251,0
United States,Jul  1 2020,62023,49282,0
United States,Jun 30 2020,47863,46287,0
United States,Jun 29 2020,39210,45044,0
United States,Jun 28 2020,42334,43728,0
United States,Jun 27 2020,48150,41888,0
United States,Jun 26 2020,52505,40266,0
United States,Jun 25 2020,52891,37914,0
United States,Jun 24 2020,41062,34956,0
United States,Jun 23 2020,39158,33310,0
United States,Jun 22 2020,30001,31592,0
United States,Jun 21 2020,29451,30373,0
United States,Jun 20 2020,36795,29134,0
United States,Jun 19 2020,36046,27562,0
United States,Jun 18 2020,32180,26661,0
United States,Jun 17 2020,29540,25544,0
United States,Jun 16 2020,27132,24843,0
United States,Jun 15 2020,21473,23775,0
United States,Jun 14 2020,20777,23257,0
United States,Jun 13 2020,25786,22870,0
United States,Jun 12 2020,29739,22586,0
United States,Jun 11 2020,24367,21942,0
United States,Jun 10 2020,24630,21790,0
United States,Jun  9 2020,19654,21564,0
United States,Jun  8 2020,17849,21808,0
United States,Jun  7 2020,18070,21659,0
United States,Jun  6 2020,23793,22006,0
United States,Jun  5 2020,25237,22078,0
United States,Jun  4 2020,23298,22039,0
United States,Jun  3 2020,23048,22403,0
United States,Jun  2 2020,21367,22271,0
United States,Jun  1 2020,16806,21446,0
United States,May 31 2020,20496,21654,0
United States,May 30 2020,24300,21806,0
United States,May 29 2020,24963,21340,0
United States,May 28 2020,25845,21590,0
United States,May 27 2020,22123,21647,0
United States,May 26 2020,15594,22167,0
United States,May 25 2020,18263,23042,0
United States,May 24 2020,21559,23946,0
United States,May 23 2020,21034,23630,0
United States,May 22 2020,26717,24339,0
United States,May 21 2020,26245,24482,0
United States,May 20 2020,25761,25002,0
United States,May 19 2020,21720,24695,0
United States,May 18 2020,24587,25119,0
United States,May 17 2020,19348,24373,0
United States,May 16 2020,25996,24646,0
United States,May 15 2020,27720,24658,0
United States,May 14 2020,29886,24820,0
United States,May 13 2020,23610,25120,0
United States,May 12 2020,24689,25251,0
United States,May 11 2020,19366,25083,0
United States,May 10 2020,21258,25353,0
United States,May  9 2020,26081,26359,0
United States,May  8 2020,28853,26623,0
United States,May  7 2020,31986,26814,0
United States,May  6 2020,24529,26838,0
United States,May  5 2020,23510,27461,0
United States,May  4 2020,21260,27473,0
United States,May  3 2020,28299,27896,0
United States,May  2 2020,27925,27850,0
United States,May  1 2020,30189,28639,0
United States,Apr 30 2020,32159,29183,0
United States,Apr 29 2020,28891,29246,0
United States,Apr 28 2020,23594,29592,0
United States,Apr 27 2020,24217,29804,0
United States,Apr 26 2020,27977,30093,0
United States,Apr 25 2020,33452,30086,0
United States,Apr 24 2020,33993,29268,0
United States,Apr 23 2020,32598,28758,0
United States,Apr 22 2020,31319,28612,0
United States,Apr 21 2020,25076,27820,0
United States,Apr 20 2020,26237,27874,0
United States,Apr 19 2020,27932,27722,0
United States,Apr 18 2020,27726,27667,0
United States,Apr 17 2020,30419,28351,0
United States,Apr 16 2020,31576,28577,0
United States,Apr 15 2020,25775,29050,0
United States,Apr 14 2020,25456,30164,0
United States,Apr 13 2020,25175,30827,0
United States,Apr 12 2020,27543,31312,0
United States,Apr 11 2020,32514,31282,0
United States,Apr 10 2020,32000,31284,0
United States,Apr  9 2020,34888,31245,0
United States,Apr  8 2020,33577,30571,0
United States,Apr  7 2020,30093,29869,0
United States,Apr  6 2020,28573,28875,0
United States,Apr  5 2020,27331,27897,0
United States,Apr  4 2020,32527,27049,0
United States,Apr  3 2020,31726,25378,0
United States,Apr  2 2020,30171,23803,0
United States,Apr  1 2020,28662,22268,0
United States,Mar 31 2020,23140,20294,0
United States,Mar 30 2020,21726,18742,0
United States,Mar 29 2020,21395,17267,0
United States,Mar 28 2020,20827,15873,0
United States,Mar 27 2020,20704,14332,0
United States,Mar 26 2020,19427,12558,0
United States,Mar 25 2020,14839,10812,0
United States,Mar 24 2020,12278,9563,0
United States,Mar 23 2020,11404,8386,0
United States,Mar 22 2020,11632,7174,0
United States,Mar 21 2020,10046,5923,0
United States,Mar 20 2020,8281,4749,0
United States,Mar 19 2020,7208,3759,0
United States,Mar 18 2020,6096,2893,0
United States,Mar 17 2020,4036,2146,0
United States,Mar 16 2020,2921,1666,0
United States,Mar 15 2020,2874,1334,0
United States,Mar 14 2020,1827,974,0
United States,Mar 13 2020,1355,751,0
United States,Mar 12 2020,1148,588,0
United States,Mar 11 2020,863,448,0
United States,Mar 10 2020,676,345,0
United States,Mar  9 2020,597,273,0
United States,Mar  8 2020,353,199,0
United States,Mar  7 2020,268,161,0
United States,Mar  6 2020,213,128,0
United States,Mar  5 2020,167,105,0
United States,Mar  4 2020,143,86,0
United States,Mar  3 2020,171,72,0
United States,Mar  2 2020,79,51,0
United States,Mar  1 2020,88,42,0
United States,Feb 29 2020,37,33,0
United States,Feb 28 2020,51,32,0
United States,Feb 27 2020,37,27,0
United States,Feb 26 2020,44,24,0
United States,Feb 25 2020,24,20,0
United States,Feb 24 2020,19,18,0
United States,Feb 23 2020,24,17,0
United States,Feb 22 2020,26,16,0
United States,Feb 21 2020,19,13,0
United States,Feb 20 2020,14,11,0
United States,Feb 19 2020,17,10,0
United States,Feb 18 2020,7,9,0
United States,Feb 17 2020,18,9,0
United States,Feb 16 2020,13,8,0
United States,Feb 15 2020,5,11,0
United States,Feb 14 2020,8,12,0
United States,Feb 13 2020,6,11,0
United States,Feb 12 2020,9,11,0
United States,Feb 11 2020,10,10,0
United States,Feb 10 2020,9,10,0
United States,Feb  9 2020,35,13,0
United States,Feb  8 2020,8,8,0
United States,Feb  7 2020,5,7,0
United States,Feb  6 2020,2,7,0
United States,Feb  5 2020,5,7,0
United States,Feb  4 2020,8,7,0
United States,Feb  3 2020,29,6,467
United States,Feb  2 2020,1,2,0
United States,Feb  1 2020,4,2,0
United States,Jan 31 2020,4,2,0
United States,Jan 30 2020,2,1,0
United States,Jan 29 2020,1,1,0
United States,Jan 28 2020,1,6,0
United States,Jan 27 2020,1,6,0
United States,Jan 26 2020,3,6,0
United States,Jan 25 2020,3,5,0
United States,Jan 24 2020,1,5,0
United States,Jan 23 2020,2,5,0
